BUS_ID,Unnamed: 0,TYPE,PD,QD,GS,BS,AREA,VM,VA,BASEKV,ZONE,VMAX,VMIN,LAM_P,LAMQ,MU_VMAX,MU_VMIN,BUS_NAME,BUS_LOCATION,VOLL
bus4100,469,1,50.6,14.34,0,0,4,0.99236,-47.609,115,21,1.1,0.9,-107.49,-8.52,0,0,CORPUS CHRISTI 13 0,CORPUS CHRISTI  ,100
bus4101,470,1,128.14,36.31,0,0,4,0.99938,-58.885,115,20,1.1,0.9,988.94,140.12,0,0,LAREDO 3 0,LAREDO  ,98894
bus4102,471,1,24.17,6.85,0,0,4,1.0038,-58.883,115,19,1.1,0.9,-68.17,82.4,0,0,OLMITO 0,OLMITO ,100
bus4103,472,1,189.88,53.8,0,120,4,1.0049,-74.238,115,19,1.1,0.9,2048.2,194.16,0,0,EDINBURG 1 0,EDINBURG  ,204820
bus4104,473,1,0,0,0,0,4,0.99769,-46.69,115,21,1.1,0.9,518.27,154.7,0,0,TAFT 2 0,TAFT  ,51827
bus4105,474,2,0,0,0,0,4,1.01,-43.312,18,21,1.1,0.9,-1505.2,0,0,0,TAFT 2 1,TAFT  ,100
bus4106,475,1,37.55,10.64,0,0,4,0.99647,-58.201,115,19,1.1,0.9,457.59,65.35,0,0,PORT ISABEL 0,PORT ISABEL ,45759
bus4107,476,1,118.36,33.54,0,0,4,1.0073,-72.661,115,19,1.1,0.9,2006,336.43,0,0,DONNA 0,DONNA ,200600
bus4108,477,1,28.34,8.03,0,0,4,0.99801,-45.216,115,21,1.1,0.9,396.61,144.28,0,0,INGLESIDE 0,INGLESIDE ,39661
bus4109,478,1,110.86,31.41,0,0,4,0.98224,-49.951,115,21,1.1,0.9,1838.4,609.73,0,0,CORPUS CHRISTI 11 0,CORPUS CHRISTI  ,183840
bus4110,479,1,57.35,16.25,0,0,4,1.0031,-63.107,115,19,1.1,0.9,1287.6,-116.48,0,0,LOS FRESNOS 0,LOS FRESNOS ,128760
bus4111,480,1,104.08,29.49,0,0,4,0.98482,-67.35,115,19,1.1,0.9,2167.3,-34.12,0,0,HARLINGEN 2 0,HARLINGEN  ,216730
bus4112,481,1,5.59,1.58,0,0,4,1.0099,-54.663,115,21,1.1,0.9,459.83,80.32,0,0,RIVIERA 0,RIVIERA ,45983
bus4113,482,1,0,0,0,0,4,1.0216,-55.739,230,20,1.1,0.9,30.02,13.2,0,0,LAREDO 1 0,LAREDO  ,3002
bus4114,483,1,0,0,0,0,4,1.0117,-57.927,115,20,1.1,0.9,10.62,7.32,0,0,LAREDO 1 1,LAREDO  ,1062
bus4115,484,2,0,0,0,0,4,1.04,-51.925,13.8,20,1.1,0.9,29.46,0,0,0,LAREDO 1 2,LAREDO  ,2946
bus4116,485,2,0,0,0,0,4,1.04,-51.971,13.8,20,1.1,0.9,29.32,0,0,0,LAREDO 1 3,LAREDO  ,2932
bus4117,486,1,18.89,5.35,0,0,4,1.0092,-48.037,115,20,1.1,0.9,37.96,7.4,0,0,JOURDANTON 0,JOURDANTON ,3796
bus4118,487,1,13.88,3.93,0,0,4,0.98219,-56.41,115,21,1.1,0.9,714.83,-10.68,0,0,GEORGE WEST 0,GEORGE WEST ,71483
bus4119,488,1,55.57,15.75,0,0,4,1.0086,-58.153,115,19,1.1,0.9,769.81,49.64,0,0,ROMA 0,ROMA ,76981
bus4120,489,1,46.52,13.18,0,0,4,0.98892,-47.922,115,21,1.1,0.9,-5.3,18.47,0,0,CORPUS CHRISTI 12 0,CORPUS CHRISTI  ,100
bus4121,490,1,4.11,1.16,0,50,4,1.0103,-68.811,115,19,1.1,0.9,1508.8,-53.45,0,0,SANTA MARIA 0,SANTA MARIA ,150880
bus4122,491,1,146.11,41.4,0,150,4,1.0069,-71.892,115,19,1.1,0.9,2157.8,-3.75,0,0,MCALLEN 1 0,MCALLEN  ,215780
bus4123,492,1,90.5,25.64,0,0,4,0.98852,-50.069,115,21,1.1,0.9,875.06,108.2,0,0,CORPUS CHRISTI 7 0,CORPUS CHRISTI  ,87506
bus4124,493,1,24.38,6.91,0,0,4,0.99278,-62.572,115,19,1.1,0.9,860.12,242.42,0,0,FALFURRIAS 0,FALFURRIAS ,86012
bus4125,494,1,4.5,1.28,0,0,4,0.99246,-46.26,115,21,1.1,0.9,792.44,21.17,0,0,PETTUS 0,PETTUS ,79244
bus4126,495,1,127.38,36.09,0,0,4,1.0042,-56.484,115,19,1.1,0.9,-36.13,46.43,0,0,BROWNSVILLE 3 0,BROWNSVILLE  ,100
bus4127,496,1,87.29,24.73,0,70,4,0.99883,-58.181,115,21,1.1,0.9,2513.8,-1142.8,0,0,ALICE 0,ALICE ,251380
bus4128,497,1,123.51,35,0,70,4,0.99576,-69.676,115,19,1.1,0.9,1292.3,280.72,0,0,RIO GRANDE CITY 0,RIO GRANDE CITY ,129230
bus4129,498,1,18.51,5.25,0,0,4,1.0247,-56.325,115,20,1.1,0.9,789.99,175.89,0,0,PREMONT 0,PREMONT ,78999
bus4130,499,1,9.48,2.69,0,20.9,4,1.02,-57.776,115,20,1.1,0.9,796.67,0,0,0,FREER 0,FREER ,79667
bus4131,500,1,0,0,0,59.58,4,1.02,-50.63,230,20,1.1,0.9,-0.64,0,0,0,PEARSALL 0,PEARSALL ,100
bus4132,501,1,33.09,9.38,0,0,4,1.018,-51.568,115,20,1.1,0.9,-0.02,0.41,0,0,PEARSALL 1,PEARSALL ,100
bus4133,502,2,0,0,0,0,4,1.02,-50.63,20,20,1.1,0.9,-0.64,0,0,0,PEARSALL 2,PEARSALL ,100
bus4134,503,2,0,0,0,0,4,1.0147,-49.792,20,20,1.1,0.9,-0.63,0,0,0,PEARSALL 3,PEARSALL ,100
bus4135,504,2,0,0,0,0,4,1.0151,-49.831,20,20,1.1,0.9,-0.63,0,0,0,PEARSALL 4,PEARSALL ,100
bus4136,505,2,0,0,0,0,4,1.0134,-49.581,20,20,1.1,0.9,-0.63,0,0,0,PEARSALL 5,PEARSALL ,100
bus4137,506,2,0,0,0,0,4,1.02,-50.63,20,20,1.1,0.9,-0.64,0,0,0,PEARSALL 6,PEARSALL ,100
bus4138,507,2,0,0,0,0,4,1.02,-50.63,20,20,1.1,0.9,-0.64,0,0,0,PEARSALL 7,PEARSALL ,100
bus4139,508,1,10.62,3.01,0,0,4,0.98288,-54.806,115,21,1.1,0.9,684,-51.64,0,0,SANDIA 0,SANDIA ,68400
bus4140,509,1,0,0,0,0,4,1.0285,-48.735,230,21,1.1,0.9,146.8,18.45,0,0,SARITA 1 0,SARITA  ,14680
bus4141,510,1,0,0,0,60.3,4,1.02,-51.913,115,21,1.1,0.9,339.36,0,0,0,SARITA 1 1,SARITA  ,33936
bus4142,511,2,0,0,0,0,4,1.0392,-46.638,13.8,21,1.1,0.9,145.26,18.07,0,0,SARITA 1 2,SARITA  ,14526
bus4143,512,1,14.36,4.07,0,0,4,1.0014,-54.2,115,20,1.1,0.9,1.56,1.5,0,0,DILLEY 0,DILLEY ,156
bus4144,513,1,16.36,4.63,0,0,4,0.98468,-56.117,115,21,1.1,0.9,1656.1,-448.59,0,0,ORANGE GROVE 0,ORANGE GROVE ,165610
bus4145,514,1,49.86,14.13,0,0,4,0.99251,-46.724,115,21,1.1,0.9,420.16,158.52,0,0,PORTLAND 0,PORTLAND ,42016
bus4146,515,1,0,0,0,0,4,1.0214,-55.901,230,20,1.1,0.9,66.28,36.49,0,0,LAREDO 4 0,LAREDO  ,6628
bus4147,516,1,193.64,54.87,0,92.09,4,1.02,-57.744,115,20,1.1,0.9,961.98,0,0,0,LAREDO 4 1,LAREDO  ,96198
bus4148,517,1,14.64,4.15,0,0,4,0.98881,-57.962,115,20,1.1,0.9,758.8,52.71,0,0,THREE RIVERS 0,THREE RIVERS ,75880
bus4149,518,1,61.36,17.38,0,0,4,0.99398,-45.086,115,21,1.1,0.9,264.37,76.36,0,0,ROCKPORT 0,ROCKPORT ,26437
bus4150,519,1,12.53,3.55,0,0,4,0.9884,-48.599,115,21,1.1,0.9,1510.4,112.15,0,0,CORPUS CHRISTI 15 0,CORPUS CHRISTI  ,151040
bus4151,520,1,0,0,0,0,4,1.0228,-49.969,230,21,1.1,0.9,81.22,46.21,0,0,ARMSTRONG 1 0,ARMSTRONG  ,8122
bus4152,521,1,0,0,0,0,4,1.0183,-48.544,115,21,1.1,0.9,-36.78,40.56,0,0,ARMSTRONG 1 1,ARMSTRONG  ,100
bus4153,522,2,0,0,0,0,4,1.0329,-48.132,18,21,1.1,0.9,78.07,45.43,0,0,ARMSTRONG 1 2,ARMSTRONG  ,7807
bus4154,523,1,26.32,7.46,0,0,4,0.99671,-67.893,115,19,1.1,0.9,1279.5,46.37,0,0,PENITAS 0,PENITAS ,127950
bus4155,524,1,19.45,5.51,0,0,4,1.0018,-65.795,115,19,1.1,0.9,1079.3,23.66,0,0,SULLIVAN CITY 0,SULLIVAN CITY ,107930
bus4156,525,1,108.01,30.6,0,0,4,0.99172,-49.551,115,21,1.1,0.9,106.26,-27.15,0,0,CORPUS CHRISTI 6 0,CORPUS CHRISTI  ,10626
bus4157,526,1,104.67,29.66,0,0,4,1.004,-70.333,115,19,1.1,0.9,2262.6,-31.91,0,0,MISSION 2 0,MISSION  ,226260
bus4158,527,1,0,0,0,0,4,1.014,-42.173,230,21,1.1,0.9,18.85,5.65,0,0,CORPUS CHRISTI 1 0,CORPUS CHRISTI  ,1885
bus4159,528,1,36.18,10.25,0,0,4,0.99891,-46.393,115,21,1.1,0.9,-39.25,-2.86,0,0,CORPUS CHRISTI 1 1,CORPUS CHRISTI  ,100
bus4160,529,2,0,0,0,0,4,1.03,-39.573,13.8,21,1.1,0.9,18.61,0,0,0,CORPUS CHRISTI 1 2,CORPUS CHRISTI  ,1861
bus4161,530,2,0,0,0,0,4,1.03,-39.33,13.8,21,1.1,0.9,17.72,0,0,0,CORPUS CHRISTI 1 3,CORPUS CHRISTI  ,1772
bus4162,531,2,0,0,0,0,4,1.03,-38.582,13.8,21,1.1,0.9,17.77,0,0,0,CORPUS CHRISTI 1 4,CORPUS CHRISTI  ,1777
bus4163,532,2,0,0,0,0,4,1.014,-42.173,13.8,21,1.1,0.9,18.85,5.65,0,0,CORPUS CHRISTI 1 5,CORPUS CHRISTI  ,1885
bus4164,533,1,2.03,0.57,0,0,4,1.002,-64.771,115,19,1.1,0.9,1037,33.4,0,0,GRULLA 0,GRULLA ,103700
bus4165,534,1,0,0,0,0,4,1.021,-46.522,115,21,1.1,0.9,19.25,1.8,0,0,SARITA 2 0,SARITA  ,1925
bus4166,535,2,0,0,0,0,4,1.007,-42.635,13.8,21,1.1,0.9,-1984.3,4412.8,0,0,SARITA 2 1,SARITA  ,100
bus4167,536,1,5.31,1.5,0,0,4,0.99451,-68.007,115,19,1.1,0.9,2481.4,-36.26,0,0,HARGILL 0,HARGILL ,248140
bus4168,537,1,8.87,2.51,0,0,4,0.99739,-46.704,115,21,1.1,0.9,-44.01,-2.64,0,0,CORPUS CHRISTI 14 0,CORPUS CHRISTI  ,100
bus4169,538,1,27.68,7.84,0,0,4,0.98708,-52.229,115,21,1.1,0.9,637.66,28.22,0,0,MATHIS 0,MATHIS ,63766
bus4170,539,1,35.86,10.16,0,0,4,0.98866,-46.963,115,21,1.1,0.9,446.33,137.8,0,0,ARANSAS PASS 0,ARANSAS PASS ,44633
bus4171,540,1,167.63,47.5,0,100,4,1.0093,-62.493,115,19,1.1,0.9,1593.1,-350.77,0,0,SAN BENITO 0,SAN BENITO ,159310
bus4172,541,1,42.31,11.99,0,0,4,1.002,-50.906,115,20,1.1,0.9,49.79,6.57,0,0,PLEASANTON 0,PLEASANTON ,4979
bus4173,542,1,12.05,3.42,0,0,4,0.99848,-40.644,115,21,1.1,0.9,193.69,58.98,0,0,REFUGIO 0,REFUGIO ,19369
bus4174,543,1,19.16,5.43,0,85,4,1.0127,-57.739,115,20,1.1,0.9,96.3,16.59,0,0,LYTLE 0,LYTLE ,9630
bus4175,544,1,3.16,0.89,0,13.02,4,1.02,-56.226,115,20,1.1,0.9,-120.89,0,0,0,LAREDO 2 0,LAREDO  ,100
bus4176,545,1,0,0,0,0,4,1.0345,-52.807,115,20,1.1,0.9,-1232.1,19.6,0,0,BRUNI 1 0,BRUNI  ,100
bus4177,546,2,0,0,0,0,4,1.04,-49.44,13.8,20,1.1,0.9,-1227.3,0,0,0,BRUNI 1 1,BRUNI  ,100
bus4178,547,1,17.46,4.95,0,43.6,4,1.02,-46.812,115,21,1.1,0.9,634.47,0,0,0,GOLIAD 0,GOLIAD ,63447
bus4179,548,1,19.92,5.64,0,0,4,1.0067,-58.432,115,20,1.1,0.9,794.61,127.75,0,0,SAN DIEGO 0,SAN DIEGO ,79461
bus4180,549,1,10.76,3.05,0,0,4,0.9864,-48.019,115,21,1.1,0.9,490.5,125.96,0,0,PORT ARANSAS 0,PORT ARANSAS ,49050
bus4181,550,2,0,0,0,0,4,1.0224,-39.371,230,21,1.1,0.9,34.64,12.7,0,0,TAFT 1 0,TAFT  ,3464
bus4182,551,1,22.68,6.43,0,0,4,1.0029,-43.431,115,21,1.1,0.9,176.56,64.66,0,0,TAFT 1 1,TAFT  ,17656
bus4183,552,2,0,0,0,0,4,1.0171,-49.91,230,19,1.1,0.9,-15.57,18.01,0,0,SAN PERLITA 0,SAN PERLITA ,100
bus4184,553,1,0,0,0,0,4,1.0035,-57.692,115,19,1.1,0.9,-319.78,-39.03,0,0,SAN PERLITA 1,SAN PERLITA ,100
bus4185,554,1,37.84,10.72,0,20.63,4,1.0167,-58.881,115,19,1.1,0.9,497.88,147.3,0,0,ZAPATA 0,ZAPATA ,49788
bus4186,555,1,37.06,10.5,0,53.8,4,0.99729,-69.364,115,19,1.1,0.9,2147.2,1.23,0,0,SANTA ROSA 2 0,SANTA ROSA  ,214720
bus4187,556,1,15.06,4.27,0,0,4,0.99239,-59.111,115,20,1.1,0.9,8.07,5.2,0,0,COTULLA 0,COTULLA ,807
bus4188,557,1,2.97,0.84,0,0,4,1.0225,-53.387,115,20,1.1,0.9,-1.21,3.36,0,0,QUEMADO 0,QUEMADO ,100
bus4189,558,1,29.89,8.47,0,0,4,0.98798,-57.016,115,20,1.1,0.9,3.91,2.86,0,0,CARRIZO SPRINGS 0,CARRIZO SPRINGS ,391
bus4190,559,1,132.46,37.53,0,0,4,1.0056,-58.682,115,20,1.1,0.9,1.05,6.43,0,0,LAREDO 5 0,LAREDO  ,105
bus4191,560,1,46.43,13.16,0,0,4,1.0005,-55.835,115,19,1.1,0.9,-238.01,-22.54,0,0,RAYMONDVILLE 0,RAYMONDVILLE ,100
bus4192,561,2,0,0,0,0,4,1.02,-50.726,230,19,1.1,0.9,18.2,0,0,0,BROWNSVILLE 1 0,BROWNSVILLE  ,1820
bus4193,562,1,178.22,50.5,0,0,4,1.0127,-53.474,115,19,1.1,0.9,-5.26,15.51,0,0,BROWNSVILLE 1 1,BROWNSVILLE  ,100
bus4194,563,2,0,0,0,0,4,0.99947,-61.602,115,19,1.1,0.9,1247.2,-52.92,0,0,SEBASTIAN 1 0,SEBASTIAN  ,124720
bus4195,564,2,0,0,0,0,4,1.0306,-51.459,500,20,1.1,0.9,65.16,26.06,0,0,OILTON 0,OILTON ,6516
bus4196,565,1,0,0,0,0,4,1.0282,-52.958,230,20,1.1,0.9,70.7,29.79,0,0,OILTON 1,OILTON ,7070
bus4197,566,1,0,0,0,0,4,1.0235,-54.957,115,20,1.1,0.9,96.82,177.1,0,0,OILTON 2,OILTON ,9682
bus5003,567,1,113.64,32.2,0,0,5,0.9882,-70.877,161,16,1.1,0.9,549.6,24.83,0,0,GARLAND 5 0,GARLAND  ,54960
bus5004,568,1,11.69,3.31,0,0,5,0.98669,-63.625,161,14,1.1,0.9,101.67,13.33,0,0,KERENS 0,KERENS ,10167
bus5005,569,1,8.95,2.53,0,0,5,1.0093,-55.203,161,18,1.1,0.9,40.44,1.75,0,0,LIPAN 0,LIPAN ,4044
bus5006,570,1,100.19,28.39,0,0,5,0.99387,-70.414,161,16,1.1,0.9,295.78,38.83,0,0,DALLAS 24 0,DALLAS  ,29578
bus5007,571,1,72.05,20.42,0,0,5,0.99355,-66.108,161,17,1.1,0.9,361.22,5.03,0,0,DENTON 4 0,DENTON  ,36122
bus5008,572,1,7.6,2.15,0,0,5,1.0061,-43.584,161,15,1.1,0.9,-1.92,14.44,0,0,ALBANY 2 0,ALBANY  ,100
bus5009,573,1,62.68,17.76,0,0,5,0.99586,-71.667,161,16,1.1,0.9,418.23,27.9,0,0,DALLAS 21 0,DALLAS  ,41823
bus5010,574,1,133.87,37.93,0,0,5,0.99544,-69.63,161,16,1.1,0.9,306.26,41.42,0,0,PLANO 2 0,PLANO  ,30626
bus5011,575,1,7.64,2.17,0,0,5,1.0036,-55.47,161,13,1.1,0.9,57.86,10.67,0,0,THORNTON 0,THORNTON ,5786
bus5012,576,1,81.32,23.04,0,0,5,0.99132,-66.589,161,17,1.1,0.9,412.01,-6.45,0,0,DENTON 5 0,DENTON  ,41201
bus5013,577,1,19.34,5.48,0,36.26,5,1.02,-51.514,161,15,1.1,0.9,33.15,0,0,0,EARLY 0,EARLY ,3315
bus5014,578,1,46.76,13.25,0,0,5,0.99452,-62.796,161,17,1.1,0.9,214.33,22.5,0,0,DECATUR 0,DECATUR ,21433
bus5015,579,1,0,0,0,0,5,1.0032,-61.565,500,17,1.1,0.9,105.25,12.93,0,0,KELLER 2 0,KELLER  ,10525
bus5016,580,1,181.16,51.33,0,0,5,1.0013,-66.191,161,17,1.1,0.9,161.81,19.89,0,0,KELLER 2 1,KELLER  ,16181
bus5017,581,1,13.85,3.93,0,0,5,0.99129,-67.459,161,17,1.1,0.9,635.51,-69.07,0,0,PONDER 0,PONDER ,63551
bus5018,582,1,0,0,0,0,5,1.0041,-48.692,500,12,1.1,0.9,27.68,-1.45,0,0,JACKSBORO 1 0,JACKSBORO  ,2768
bus5019,583,1,0,0,0,0,5,1.0015,-50.448,161,12,1.1,0.9,32.18,0.8,0,0,JACKSBORO 1 1,JACKSBORO  ,3218
bus5020,584,2,0,0,0,0,5,1,-46.981,13.8,12,1.1,0.9,27.73,0,0,0,JACKSBORO 1 2,JACKSBORO  ,2773
bus5021,585,1,0,0,0,0,5,1.0003,-59.459,500,17,1.1,0.9,78.04,6.57,0,0,ALEDO 1 0,ALEDO  ,7804
bus5022,586,1,140.24,39.73,0,0,5,0.99761,-63.186,161,17,1.1,0.9,123.63,8.5,0,0,ALEDO 1 1,ALEDO  ,12363
bus5023,587,2,0,0,0,0,5,1.0003,-59.459,13.8,17,1.1,0.9,78.04,6.57,0,0,ALEDO 1 2,ALEDO  ,7804
bus5024,588,1,50.92,14.43,0,0,5,1.0026,-55.893,161,13,1.1,0.9,37.26,1.56,0,0,GATESVILLE 4 0,GATESVILLE  ,3726
bus5025,589,1,74.46,21.1,0,0,5,0.99472,-62.513,161,18,1.1,0.9,2256,-249.23,0,0,CLEBURNE 2 0,CLEBURNE  ,225600
bus5026,590,1,71.11,20.15,0,0,5,0.98961,-67.694,161,17,1.1,0.9,188.3,10.6,0,0,FORT WORTH 14 0,FORT WORTH  ,18830
bus5027,591,1,74.13,21,0,0,5,0.99298,-68.555,161,17,1.1,0.9,439.01,-41.53,0,0,FORT WORTH 23 0,FORT WORTH  ,43901
bus5028,592,1,9.35,2.65,0,0,5,0.99799,-68.659,161,17,1.1,0.9,224.12,28.88,0,0,FORT WORTH 1 0,FORT WORTH  ,22412
bus5029,593,1,12.77,3.62,0,0,5,1.001,-54.814,161,13,1.1,0.9,42.56,3.42,0,0,TROY 0,TROY ,4256
bus5030,594,1,79.61,22.55,0,0,5,0.98986,-66.294,161,12,1.1,0.9,135.78,-1.77,0,0,SPRINGTOWN 0,SPRINGTOWN ,13578
bus5031,595,1,42.36,12,0,0,5,1.002,-66.736,161,16,1.1,0.9,179.91,29.27,0,0,PRINCETON 0,PRINCETON ,17991
bus5032,596,1,47.16,13.36,0,0,5,0.99203,-69.808,161,16,1.1,0.9,401.14,40.61,0,0,DALLAS 27 0,DALLAS  ,40114
bus5033,597,1,0,0,0,0,5,1.0108,-63.99,500,16,1.1,0.9,15.89,-9.64,0,0,DALLAS 1 0,DALLAS  ,1589
bus5034,598,1,55.35,15.68,0,0,5,1.0045,-66.208,161,16,1.1,0.9,122.66,23.41,0,0,DALLAS 1 1,DALLAS  ,12266
bus5035,599,2,0,0,0,0,5,1.0108,-63.99,13.2,16,1.1,0.9,15.89,-9.64,0,0,DALLAS 1 2,DALLAS  ,1589
bus5036,600,2,0,0,0,0,5,1.0108,-63.99,13.2,16,1.1,0.9,15.89,-9.64,0,0,DALLAS 1 3,DALLAS  ,1589
bus5037,601,2,0,0,0,0,5,1.02,-63.363,13.2,16,1.1,0.9,16.22,0,0,0,DALLAS 1 4,DALLAS  ,1622
bus5038,602,2,0,0,0,0,5,1.02,-63.342,13.2,16,1.1,0.9,16.21,0,0,0,DALLAS 1 5,DALLAS  ,1621
bus5039,603,2,0,0,0,0,5,1.0194,-63.71,13.2,16,1.1,0.9,16.11,-1936.3,0,0,DALLAS 1 6,DALLAS  ,1611
bus5040,604,2,0,0,0,0,5,1.02,-63.144,13.2,16,1.1,0.9,16.59,0,0,0,DALLAS 1 7,DALLAS  ,1659
bus5041,605,2,0,0,0,0,5,1.02,-63.405,13.2,16,1.1,0.9,16.32,0,0,0,DALLAS 1 8,DALLAS  ,1632
bus5042,606,2,0,0,0,0,5,1.02,-63.295,13.2,16,1.1,0.9,16.23,0,0,0,DALLAS 1 9,DALLAS  ,1623
bus5043,607,1,68.1,19.29,0,0,5,0.98495,-69.769,161,16,1.1,0.9,332.55,45.71,0,0,ROYSE CITY 0,ROYSE CITY ,33255
bus5044,608,1,17.5,4.96,0,0,5,0.99624,-63.17,161,17,1.1,0.9,-869.17,-9.19,0,0,BOYD 0,BOYD ,100
bus5045,609,1,0,0,0,0,5,1.0102,-48.99,500,18,1.1,0.9,27.02,-7.56,0,0,STEPHENVILLE 0,STEPHENVILLE ,2702
bus5046,610,1,77.11,21.85,0,0,5,1.0077,-51.03,161,18,1.1,0.9,28.48,-5.27,0,0,STEPHENVILLE 1,STEPHENVILLE ,2848
bus5047,611,1,0,0,0,0,5,1.0082,-59.913,500,17,1.1,0.9,68.11,-1.14,0,0,MANSFIELD 0,MANSFIELD ,6811
bus5048,612,1,184.54,52.29,0,0,5,0.99611,-64.259,161,17,1.1,0.9,119.43,13.39,0,0,MANSFIELD 1,MANSFIELD ,11943
bus5049,613,1,0,0,0,0,5,1.0062,-59.974,500,16,1.1,0.9,135.95,13.41,0,0,GREENVILLE 1 0,GREENVILLE  ,13595
bus5050,614,1,64.6,18.3,0,0,5,1.0023,-64.457,161,16,1.1,0.9,185.61,33.3,0,0,GREENVILLE 1 1,GREENVILLE  ,18561
bus5051,615,2,0,0,0,0,5,1.0132,-59.205,22,16,1.1,0.9,135.54,13.21,0,0,GREENVILLE 1 2,GREENVILLE  ,13554
bus5052,616,1,0,0,0,0,5,1.0041,-63.171,115,16,1.1,0.9,272.04,49.84,0,0,GREENVILLE 1 3,GREENVILLE  ,27204
bus5053,617,1,152.78,43.29,0,0,5,0.98851,-69.59,161,16,1.1,0.9,234.51,37.77,0,0,PLANO 4 0,PLANO  ,23451
bus5054,618,1,21.17,6,0,0,5,0.99399,-57.448,161,14,1.1,0.9,63.95,11.5,0,0,GROESBECK 0,GROESBECK ,6395
bus5055,619,1,0,0,0,0,5,1.0028,-50.212,500,12,1.1,0.9,17.98,-1.58,0,0,GRAHAM 0,GRAHAM ,1798
bus5056,620,1,40.4,11.45,0,0,5,1.0014,-51.068,161,12,1.1,0.9,1.5,-2.36,0,0,GRAHAM 1,GRAHAM ,150
bus5057,621,2,0,0,0,0,5,1.0028,-50.212,13.8,12,1.1,0.9,17.98,-1.58,0,0,GRAHAM 2,GRAHAM ,1798
bus5058,622,2,0,0,0,0,5,1,-47.442,13.8,12,1.1,0.9,18.09,0,0,0,GRAHAM 3,GRAHAM ,1809
bus5059,623,1,0,0,0,0,5,0.99549,-64.251,161,14,1.1,0.9,62.21,5.02,0,0,MABANK 2 0,MABANK  ,6221
bus5060,624,1,0,0,0,0,5,0.99837,-66.612,115,14,1.1,0.9,5.84,-11.75,0,0,MABANK 2 1,MABANK  ,584
bus5061,625,1,0,0,0,33.47,5,1.02,-69.97,115,14,1.1,0.9,5.4,0,0,0,MABANK 2 2,MABANK  ,540
bus5062,626,1,43.74,12.39,0,0,5,0.99169,-74.34,115,14,1.1,0.9,5.39,0,0,0,MABANK 2 3,MABANK  ,539
bus5063,627,1,0,0,0,0,5,1.0103,-62.188,500,17,1.1,0.9,110.8,10.01,0,0,ARLINGTON 1 0,ARLINGTON  ,11080
bus5064,628,1,77.07,21.84,0,0,5,1.0015,-66.398,161,17,1.1,0.9,173.96,24.61,0,0,ARLINGTON 1 1,ARLINGTON  ,17396
bus5065,629,2,0,0,0,0,5,1.0112,-62.085,13.8,17,1.1,0.9,110.76,9.99,0,0,ARLINGTON 1 2,ARLINGTON  ,11076
bus5066,630,2,0,0,0,0,5,1.0103,-62.188,13.8,17,1.1,0.9,110.8,10.01,0,0,ARLINGTON 1 3,ARLINGTON  ,11080
bus5067,631,2,0,0,0,0,5,1.03,-59.61,13.8,17,1.1,0.9,110.15,0,0,0,ARLINGTON 1 4,ARLINGTON  ,11015
bus5068,632,2,0,0,0,0,5,1.03,-59.485,13.8,17,1.1,0.9,110.03,0,0,0,ARLINGTON 1 5,ARLINGTON  ,11003
bus5069,633,2,0,0,0,0,5,1.03,-59.314,13.8,17,1.1,0.9,109.94,0,0,0,ARLINGTON 1 6,ARLINGTON  ,10994
bus5070,634,1,74.65,21.15,0,0,5,0.99041,-70.297,161,17,1.1,0.9,358.04,38.28,0,0,DALLAS 41 0,DALLAS  ,35804
bus5071,635,1,74.11,21,0,0,5,1.0097,-54.85,161,13,1.1,0.9,35.05,0.95,0,0,WACO 3 0,WACO  ,3505
bus5072,636,1,72.34,20.5,0,0,5,0.99377,-69.873,161,16,1.1,0.9,261.03,37.93,0,0,DALLAS 19 0,DALLAS  ,26103
bus5073,637,1,8.83,2.5,0,0,5,1.0174,-46.702,161,15,1.1,0.9,34.8,-6.03,0,0,BANGS 0,BANGS ,3480
bus5074,638,1,31.78,9,0,0,5,0.99543,-69.57,161,16,1.1,0.9,221.07,42.44,0,0,PROSPER 0,PROSPER ,22107
bus5075,639,1,3.96,1.12,0,0,5,1.0023,-56.954,161,18,1.1,0.9,37.95,1.25,0,0,EVANT 0,EVANT ,3795
bus5076,640,1,0,0,0,0,5,1.0003,-71.669,161,16,1.1,0.9,417.87,19.17,0,0,TERRELL 1 0,TERRELL  ,41787
bus5077,641,1,18.49,5.24,0,75.91,5,1.02,-72.656,115,16,1.1,0.9,404.56,0,0,0,TERRELL 1 1,TERRELL  ,40456
bus5078,642,1,66.42,18.82,0,0,5,0.98916,-66.892,161,17,1.1,0.9,301.6,17.41,0,0,AUBREY 0,AUBREY ,30160
bus5079,643,1,38.19,10.82,0,0,5,1.0135,-56.312,161,13,1.1,0.9,34.89,0.88,0,0,WACO 4 0,WACO  ,3489
bus5080,644,1,37.61,10.66,0,0,5,0.99479,-57.205,161,13,1.1,0.9,40.83,2.61,0,0,LORENA 0,LORENA ,4083
bus5081,645,1,89.83,25.45,0,0,5,0.99986,-55.862,161,13,1.1,0.9,38.22,1.05,0,0,FORT HOOD 0,FORT HOOD ,3822
bus5082,646,1,102.22,28.96,0,0,5,0.99473,-69.665,161,17,1.1,0.9,228.01,21.52,0,0,ARLINGTON 5 0,ARLINGTON  ,22801
