,GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,RAMP_Q,APF,MU_PMAX,MU_PMIN,MU_QMAX,MU_QMIN,COST_0,COST_1,COST_2,COST_3,COST_4,COST_5,COST_6,COST_7,COST_8,COST_9,COST_10,COST_11,FUEL_TYPE,GEN_TYPE,MINIMUM_UP_TIME,MINIMUM_DOWN_TIME,STARTUP_RAMP,SHUTDOWN_RAMP,RESERVE_PRICE,REGULATION_PRICE,VOM,STARTUP,SHUTDOWN,RAMP_COST
wind94,bus3074,74.85,-1.88,21.26,-14.37,1,119.76,1,74.85,74.85,0,0,0,0,0,0,0,74.85,0,0,99.8,0,0,0,0,74.85,0,74.85,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,74.85,74.85,2,1.5,1.91,5,2,0
wind95,bus3081,186.75,40.91,53.04,-35.86,1.04,298.8,1,186.75,186.75,0,0,0,0,0,0,0,186.75,0,0,249,0,0,0,0,186.75,0,186.75,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,186.75,186.75,2,1.5,1.91,5,2,0
wind96,bus3084,174.37,-5.29,49.52,-33.48,1,279,1,174.37,174.37,0,0,0,0,0,0,0,174.37,0,0,232.5,0,0,0,0,174.37,0,174.37,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,174.37,174.37,2,1.5,1.91,5,2,0
wind97,bus3086,56.25,-0.11,15.97,-10.8,1,90,1,56.25,56.25,0,0,0,0,0,0,0,56.25,0,0,75,0,0,0,0,56.25,0,56.25,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,56.25,56.25,2,1.5,1.91,5,2,0
wind98,bus3087,0,0,15.97,-10.8,1,90,1,75,22.5,0,0,0,0,0,0,0,75,0,0,75,0,0,0,0,22.5,0,75,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,30,30,2,1.5,1.91,5,2,0
wind99,bus3092,150,30.83,42.6,-28.8,1.04,240,1,150,150,0,0,0,0,0,0,0,150,0,0,200,0,0,0,0,150,0,150,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,150,150,2,1.5,1.91,5,2,0
wind100,bus3095,90.45,21.16,25.69,-17.37,1.04,144.72,1,90.45,90.45,0,0,0,0,0,0,0,90.45,0,0,120.6,0,0,0,0,90.45,0,90.45,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,90.45,90.45,2,1.5,1.91,5,2,0
wind101,bus3098,120,21.82,34.08,-23.04,1.04,192,1,120,120,0,0,0,0,0,0,0,120,0,0,160,0,0,0,0,120,0,120,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,120,120,2,1.5,1.91,5,2,0
hydro102,bus3105,44.5,-0.74,17.07,-0.74,1,18,1,44.5,44.5,0,0,0,0,0,0,0,44.5,0,0,15,0,0,0,0,44.5,0,44.5,0,0,0,0,0,0,0,0,0,hydro,Hydro,3,2,44.5,44.5,2,1.5,1.91,5,2,0
hydro103,bus3106,53.02,-2.57,62.48,-2.69,1,65.88,1,53.02,53.02,0,0,0,0,0,0,0,53.02,0,0,54.9,0,0,0,0,53.02,0,53.02,0,0,0,0,0,0,0,0,0,hydro,Hydro,3,2,53.02,53.02,2,1.5,1.91,5,2,0
wind104,bus3110,63,13.69,17.89,-12.1,1.04,100.8,1,63,63,0,0,0,0,0,0,0,63,0,0,84,0,0,0,0,63,0,63,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,63,63,2,1.5,1.91,5,2,0
wind105,bus3112,56.1,-1.51,15.93,-10.77,1,89.76,1,56.1,56.1,0,0,0,0,0,0,0,56.1,0,0,74.8,0,0,0,0,56.1,0,56.1,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,56.1,56.1,2,1.5,1.91,5,2,0
wind106,bus3113,56.1,-0.82,15.93,-10.77,1,89.76,1,56.1,56.1,0,0,0,0,0,0,0,56.1,0,0,74.8,0,0,0,0,56.1,0,56.1,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,56.1,56.1,2,1.5,1.91,5,2,0
wind107,bus3117,47.25,-3.77,13.42,-9.07,1,75.6,1,47.25,47.25,0,0,0,0,0,0,0,47.25,0,0,63,0,0,0,0,47.25,0,47.25,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,47.25,47.25,2,1.5,1.91,5,2,0
wind108,bus3118,90,-6.63,25.56,-17.28,1,144,1,90,90,0,0,0,0,0,0,0,90,0,0,120,0,0,0,0,90,0,90,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,90,90,2,1.5,1.91,5,2,0
solar109,bus3120,29.7,0,0,0,1,47.52,1,29.7,29.7,0,0,0,0,0,0,0,29.7,0,0,39.6,0,0,0,0,29.7,0,29.7,0,0,0,0,0,0,0,0,0,solar,Renewable,3,2,29.7,29.7,2,1.5,1.91,5,2,0
wind110,bus3122,147.75,-8.91,41.96,-28.37,1,236.4,1,147.75,147.75,0,0,0,0,0,0,0,147.75,0,0,197,0,0,0,0,147.75,0,147.75,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,147.75,147.75,2,1.5,1.91,5,2,0
wind111,bus3127,101.25,-19.44,28.76,-19.44,1,162,1,101.25,101.25,0,0,0,0,0,0,0,101.25,0,0,135,0,0,0,0,101.25,0,101.25,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,101.25,101.25,2,1.5,1.91,5,2,0
wind112,bus3129,94.88,-18.22,26.94,-18.22,1,151.8,1,94.88,94.88,0,0,0,0,0,0,0,94.88,0,0,126.5,0,0,0,0,94.88,0,94.88,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,94.88,94.88,2,1.5,1.91,5,2,0
wind113,bus3131,85.5,24.28,24.28,-16.42,1.02,136.8,1,85.5,85.5,0,0,0,0,0,0,0,85.5,0,0,114,0,0,0,0,85.5,0,85.5,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,85.5,85.5,2,1.5,1.91,5,2,0
ng114,bus3133,0,0,26.11,-5.69,1.04,61.56,1,51.3,15.39,0,0,0,0,0,0,0,51.3,0,0,51.3,0,0,0,0,15.39,307.8,51.3,1376.40498,0,0,0,0,0,0,0,0,ng,Thermal,3,2,20.52,20.52,2,1.5,1.91,5,2,2.895163858
ng115,bus3133,0,0,26.11,-5.69,1.04,61.56,1,51.3,15.39,0,0,0,0,0,0,0,51.3,0,0,51.3,0,0,0,0,15.39,307.8,51.3,1376.40498,0,0,0,0,0,0,0,0,ng,Thermal,3,2,20.52,20.52,2,1.5,1.91,5,2,2.895163858
ng116,bus3133,0,0,26.11,-5.69,1.04,61.56,1,51.3,15.39,0,0,0,0,0,0,0,51.3,0,0,51.3,0,0,0,0,15.39,307.8,51.3,1376.40498,0,0,0,0,0,0,0,0,ng,Thermal,3,2,20.52,20.52,2,1.5,1.91,5,2,2.895163858
wind117,bus3137,75.9,21.56,21.56,-14.57,1.03,121.44,1,75.9,75.9,0,0,0,0,0,0,0,75.9,0,0,101.2,0,0,0,0,75.9,0,75.9,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,75.9,75.9,2,1.5,1.91,5,2,0
wind118,bus3141,68.62,-13.18,19.49,-13.18,1,109.8,1,68.62,68.62,0,0,0,0,0,0,0,68.62,0,0,91.5,0,0,0,0,68.62,0,68.62,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,68.62,68.62,2,1.5,1.91,5,2,0
wind119,bus4010,151.2,20.85,42.94,-29.03,1.03,241.92,1,151.2,151.2,0,0,0,0,0,0,0,151.2,0,0,201.6,0,0,0,0,151.2,0,151.2,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,151.2,151.2,2,1.5,1.91,5,2,0
coal120,bus4026,408.86,57.46,191.06,-50.02,1.03,492,1,410,123,0,0,0,0,0,0,0,410,0,0,410,0,0,0,0,123,2460,410,6171.464,0,0,0,0,0,0,0,0,coal,Thermal,3,2,164,164,2,1.5,1.91,5,2,1.288702778
coal121,bus4030,460.56,-23.08,290.04,-75.93,1.01,746.88,1,622.4,186.72,0,0,0,0,0,0,0,622.4,0,0,622.4,0,0,0,0,186.72,3734.4,622.4,8831.09696,0,0,0,0,0,0,0,0,coal,Thermal,3,2,248.96,248.96,2,1.5,1.91,5,2,1.167146872
hydro122,bus4045,93.4,8.96,35.86,-1.54,1.02,37.8,1,93.4,93.4,0,0,0,0,0,0,0,93.4,0,0,31.5,0,0,0,0,93.4,0,93.4,0,0,0,0,0,0,0,0,0,hydro,Hydro,3,2,93.4,93.4,2,1.5,1.91,5,2,0
hydro123,bus4046,28.5,2.93,10.94,-0.47,1.02,11.52,1,28.5,28.5,0,0,0,0,0,0,0,28.5,0,0,9.6,0,0,0,0,28.5,0,28.5,0,0,0,0,0,0,0,0,0,hydro,Hydro,3,2,28.5,28.5,2,1.5,1.91,5,2,0
hydro124,bus4047,27.48,6.02,75.1,-3.23,1.02,79.2,1,27.48,27.48,0,0,0,0,0,0,0,27.48,0,0,66,0,0,0,0,27.48,0,27.48,0,0,0,0,0,0,0,0,0,hydro,Hydro,3,2,27.48,27.48,2,1.5,1.91,5,2,0
wind125,bus4050,150,-14.05,42.6,-28.8,1,240,1,150,150,0,0,0,0,0,0,0,150,0,0,200,0,0,0,0,150,0,150,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,150,150,2,1.5,1.91,5,2,0
ng126,bus4052,44.08,22.5,22.5,-4.91,1.04,53.04,1,44.2,13.26,0,0,0,0,0,0,0,44.2,0,0,44.2,0,0,0,0,13.26,265.2,44.2,1183.9262,0,0,0,0,0,0,0,0,ng,Thermal,3,2,17.68,17.68,2,1.5,1.91,5,2,2.876412649
ng127,bus4058,99.6,18.55,73.3,-15.98,1.03,172.8,1,144,43.2,0,0,0,0,0,0,0,144,0,0,144,0,0,0,0,43.2,864,144,2551.0704,0,0,0,0,0,0,0,0,ng,Thermal,3,2,57.6,57.6,2,1.5,1.91,5,2,1.657240079
ng128,bus4059,84.08,19.72,73.3,-15.98,1.03,172.8,1,144,43.2,0,0,0,0,0,0,0,144,0,0,144,0,0,0,0,43.2,864,144,2551.0704,0,0,0,0,0,0,0,0,ng,Thermal,3,2,57.6,57.6,2,1.5,1.91,5,2,1.657240079
ng129,bus4060,124.4,15.6,73.3,-15.98,1.03,172.8,1,144,43.2,0,0,0,0,0,0,0,144,0,0,144,0,0,0,0,43.2,864,144,2551.0704,0,0,0,0,0,0,0,0,ng,Thermal,3,2,57.6,57.6,2,1.5,1.91,5,2,1.657240079
ng130,bus4061,148.87,20.61,87.72,-19.13,1.03,206.8,1,172.33,51.7,0,0,0,0,0,0,0,172.33,0,0,172.33,0,0,0,0,51.7,1034,172.33,2951.4205,0,0,0,0,0,0,0,0,ng,Thermal,3,2,68.932,68.932,2,1.5,1.91,5,2,1.576437145
ng131,bus4062,171.85,17.91,87.72,-19.13,1.03,206.8,1,172.33,51.7,0,0,0,0,0,0,0,172.33,0,0,172.33,0,0,0,0,51.7,1034,172.33,2951.4205,0,0,0,0,0,0,0,0,ng,Thermal,3,2,68.932,68.932,2,1.5,1.91,5,2,1.576437145
ng132,bus4063,124.75,20.79,87.72,-19.13,1.03,206.8,1,172.33,51.7,0,0,0,0,0,0,0,172.33,0,0,172.33,0,0,0,0,51.7,1034,172.33,2951.4205,0,0,0,0,0,0,0,0,ng,Thermal,3,2,68.932,68.932,2,1.5,1.91,5,2,1.576437145
ng133,bus4065,46.87,14.18,23.92,-5.22,1.02,56.4,1,47,14.1,0,0,0,0,0,0,0,47,0,0,47,0,0,0,0,14.1,282,47,1221.3447,0,0,0,0,0,0,0,0,ng,Thermal,3,2,18.8,18.8,2,1.5,1.91,5,2,2.770928319
ng134,bus4075,0,0,89.75,-19.57,1.03,211.6,1,176.33,52.9,0,0,0,0,0,0,0,176.33,0,0,176.33,0,0,0,0,52.9,1058,176.33,4454.45155,0,0,0,0,0,0,0,0,ng,Thermal,3,2,70.532,70.532,2,1.5,1.91,5,2,2.729608254
ng135,bus4076,175.84,36.05,89.75,-19.57,1.03,211.6,1,176.33,52.9,0,0,0,0,0,0,0,176.33,0,0,176.33,0,0,0,0,52.9,1058,176.33,4454.45155,0,0,0,0,0,0,0,0,ng,Thermal,3,2,70.532,70.532,2,1.5,1.91,5,2,2.729608254
ng136,bus4077,97.06,28.93,89.75,-19.57,1.03,211.6,1,176.33,52.9,0,0,0,0,0,0,0,176.33,0,0,176.33,0,0,0,0,52.9,1058,176.33,4454.45155,0,0,0,0,0,0,0,0,ng,Thermal,3,2,70.532,70.532,2,1.5,1.91,5,2,2.729608254
ng137,bus4082,242.72,32.28,123.89,-27.02,1.04,292.08,1,243.4,73.02,0,0,0,0,0,0,0,243.4,0,0,243.4,0,0,0,0,73.02,1460.4,243.4,3979.80372,0,0,0,0,0,0,0,0,ng,Thermal,3,2,97.36,97.36,2,1.5,1.91,5,2,1.470068689
ng138,bus4083,242.72,33.27,123.89,-27.02,1.04,292.08,1,243.4,73.02,0,0,0,0,0,0,0,243.4,0,0,243.4,0,0,0,0,73.02,1460.4,243.4,3979.80372,0,0,0,0,0,0,0,0,ng,Thermal,3,2,97.36,97.36,2,1.5,1.91,5,2,1.470068689
ng139,bus4084,242.72,51.43,123.89,-27.02,1.04,292.08,1,243.4,73.02,0,0,0,0,0,0,0,243.4,0,0,243.4,0,0,0,0,73.02,1460.4,243.4,3979.80372,0,0,0,0,0,0,0,0,ng,Thermal,3,2,97.36,97.36,2,1.5,1.91,5,2,1.470068689
ng140,bus4085,168.05,54.88,179.17,-39.07,1.04,422.4,1,352,105.6,0,0,0,0,0,0,0,352,0,0,352,0,0,0,0,105.6,2112,352,5617.408,0,0,0,0,0,0,0,0,ng,Thermal,3,2,140.8,140.8,2,1.5,1.91,5,2,1.416898949
coal141,bus4090,0,0,0.65,-0.17,1.01,1.68,1,1.4,0.42,0,0,0,0,0,0,0,1.4,0,0,1.4,0,0,0,0,0.42,8.4,1.4,252.86856,0,0,0,0,0,0,0,0,coal,Thermal,3,2,0.56,0.56,2,1.5,1.91,5,2,12.34689697
coal142,bus4091,23.43,3.95,10.95,-2.87,1.01,28.2,1,23.5,7.05,0,0,0,0,0,0,0,23.5,0,0,23.5,0,0,0,0,7.05,141,23.5,519.1094,0,0,0,0,0,0,0,0,coal,Thermal,3,2,9.4,9.4,2,1.5,1.91,5,2,2.166816046
coal143,bus4092,0,0,3.54,-0.93,1.01,9.12,1,7.6,2.28,0,0,0,0,0,0,0,7.6,0,0,7.6,0,0,0,0,2.28,45.6,7.6,327.55504,0,0,0,0,0,0,0,0,coal,Thermal,3,2,3.04,3.04,2,1.5,1.91,5,2,4.461313924
coal144,bus4093,27.92,2.53,13.05,-3.42,1.01,33.6,1,28,8.4,0,0,0,0,0,0,0,28,0,0,28,0,0,0,0,8.4,168,28,573.3212,0,0,0,0,0,0,0,0,coal,Thermal,3,2,11.2,11.2,2,1.5,1.91,5,2,1.967578641
coal145,bus4094,27.92,8.12,13.05,-3.42,1.01,33.6,1,28,8.4,0,0,0,0,0,0,0,28,0,0,28,0,0,0,0,8.4,168,28,573.3212,0,0,0,0,0,0,0,0,coal,Thermal,3,2,11.2,11.2,2,1.5,1.91,5,2,1.967578641
coal146,bus4095,27.92,3.75,13.05,-3.42,1.01,33.6,1,28,8.4,0,0,0,0,0,0,0,28,0,0,28,0,0,0,0,8.4,168,28,573.3212,0,0,0,0,0,0,0,0,coal,Thermal,3,2,11.2,11.2,2,1.5,1.91,5,2,1.967578641
coal147,bus4096,0,0,13.05,-3.42,1.01,33.6,1,28,8.4,0,0,0,0,0,0,0,28,0,0,28,0,0,0,0,8.4,168,28,573.3212,0,0,0,0,0,0,0,0,coal,Thermal,3,2,11.2,11.2,2,1.5,1.91,5,2,1.967578641
coal148,bus4097,27.92,3.29,13.05,-3.42,1.01,33.6,1,28,8.4,0,0,0,0,0,0,0,28,0,0,28,0,0,0,0,8.4,168,28,573.3212,0,0,0,0,0,0,0,0,coal,Thermal,3,2,11.2,11.2,2,1.5,1.91,5,2,1.967578641
coal149,bus4098,0,0,13.05,-3.42,1.01,33.6,1,28,8.4,0,0,0,0,0,0,0,28,0,0,28,0,0,0,0,8.4,168,28,573.3212,0,0,0,0,0,0,0,0,coal,Thermal,3,2,11.2,11.2,2,1.5,1.91,5,2,1.967578641
wind150,bus4105,135,26.12,38.34,-25.92,1.01,216,1,135,135,0,0,0,0,0,0,0,135,0,0,180,0,0,0,0,135,0,135,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,135,135,2,1.5,1.91,5,2,0
ng151,bus4115,131.43,37.25,67.09,-14.63,1.04,158.16,1,131.8,39.54,0,0,0,0,0,0,0,131.8,0,0,131.8,0,0,0,0,39.54,790.8,131.8,3447.77624,0,0,0,0,0,0,0,0,ng,Thermal,3,2,52.72,52.72,2,1.5,1.91,5,2,2.848998756
ng152,bus4116,123.76,34.12,67.09,-14.63,1.04,158.16,1,131.8,39.54,0,0,0,0,0,0,0,131.8,0,0,131.8,0,0,0,0,39.54,790.8,131.8,3447.77624,0,0,0,0,0,0,0,0,ng,Thermal,3,2,52.72,52.72,2,1.5,1.91,5,2,2.848998756
ng153,bus4133,0,0,17.1,-3.73,1,40.32,1,33.6,10.08,0,0,0,0,0,0,0,33.6,0,0,33.6,0,0,0,0,10.08,201.6,33.6,1307.26656,0,0,0,0,0,0,0,0,ng,Thermal,3,2,13.44,13.44,2,1.5,1.91,5,2,4.509243719
ng154,bus4134,10.21,-3.73,17.1,-3.73,1,40.32,1,33.6,10.08,0,0,0,0,0,0,0,33.6,0,0,33.6,0,0,0,0,10.08,201.6,33.6,1307.26656,0,0,0,0,0,0,0,0,ng,Thermal,3,2,13.44,13.44,2,1.5,1.91,5,2,4.509243719
ng155,bus4135,10.21,-3.73,17.1,-3.73,1,40.32,1,33.6,10.08,0,0,0,0,0,0,0,33.6,0,0,33.6,0,0,0,0,10.08,201.6,33.6,1307.26656,0,0,0,0,0,0,0,0,ng,Thermal,3,2,13.44,13.44,2,1.5,1.91,5,2,4.509243719
ng156,bus4136,10.21,-3.73,17.1,-3.73,1,40.32,1,33.6,10.08,0,0,0,0,0,0,0,33.6,0,0,33.6,0,0,0,0,10.08,201.6,33.6,1307.26656,0,0,0,0,0,0,0,0,ng,Thermal,3,2,13.44,13.44,2,1.5,1.91,5,2,4.509243719
ng157,bus4137,0,0,34.2,-7.46,1,80.64,1,67.2,20.16,0,0,0,0,0,0,0,67.2,0,0,67.2,0,0,0,0,20.16,403.2,67.2,2027.328,0,0,0,0,0,0,0,0,ng,Thermal,3,2,26.88,26.88,2,1.5,1.91,5,2,3.380782681
ng158,bus4138,0,0,33.59,-7.33,1,79.2,1,66,19.8,0,0,0,0,0,0,0,66,0,0,66,0,0,0,0,19.8,396,66,2001.378,0,0,0,0,0,0,0,0,ng,Thermal,3,2,26.4,26.4,2,1.5,1.91,5,2,3.401224576
wind159,bus4142,141,40.04,40.04,-27.07,1.04,225.6,1,141,141,0,0,0,0,0,0,0,141,0,0,188,0,0,0,0,141,0,141,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,141,141,2,1.5,1.91,5,2,0
wind160,bus4153,212.4,60.32,60.32,-40.78,1.04,339.84,1,212.4,212.4,0,0,0,0,0,0,0,212.4,0,0,283.2,0,0,0,0,212.4,0,212.4,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,212.4,212.4,2,1.5,1.91,5,2,0
ng161,bus4160,197.22,68.62,100.66,-21.95,1.03,237.32,1,197.77,59.33,0,0,0,0,0,0,0,197.77,0,0,197.77,0,0,0,0,59.33,1186.6,197.77,3315.62212,0,0,0,0,0,0,0,0,ng,Thermal,3,2,79.108,79.108,2,1.5,1.91,5,2,1.526837435
ng162,bus4161,87.79,28.72,100.66,-21.95,1.03,237.32,1,197.77,59.33,0,0,0,0,0,0,0,197.77,0,0,197.77,0,0,0,0,59.33,1186.6,197.77,3315.62212,0,0,0,0,0,0,0,0,ng,Thermal,3,2,79.108,79.108,2,1.5,1.91,5,2,1.526837435
ng163,bus4162,112.46,27.68,100.66,-21.95,1.03,237.32,1,197.77,59.33,0,0,0,0,0,0,0,197.77,0,0,197.77,0,0,0,0,59.33,1186.6,197.77,3315.62212,0,0,0,0,0,0,0,0,ng,Thermal,3,2,79.108,79.108,2,1.5,1.91,5,2,1.526837435
ng164,bus4163,0,0,4.58,-1,1.03,10.8,1,9,2.7,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,2.7,54,9,717.8217,0,0,0,0,0,0,0,0,ng,Thermal,3,2,3.6,3.6,2,1.5,1.91,5,2,9.093447945
wind165,bus4166,150.75,-28.94,42.81,-28.94,1,241.2,1,150.75,150.75,0,0,0,0,0,0,0,150.75,0,0,201,0,0,0,0,150.75,0,150.75,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,150.75,150.75,2,1.5,1.91,5,2,0
wind166,bus4177,112.5,8.16,31.95,-21.6,1.04,180,1,112.5,112.5,0,0,0,0,0,0,0,112.5,0,0,150,0,0,0,0,112.5,0,112.5,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,112.5,112.5,2,1.5,1.91,5,2,0
wind167,bus4181,150.07,42.62,42.62,-28.81,1.04,240.12,1,150.07,150.07,0,0,0,0,0,0,0,150.07,0,0,200.1,0,0,0,0,150.07,0,150.07,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,150.07,150.07,2,1.5,1.91,5,2,0
wind168,bus4183,152.25,43.24,43.24,-29.23,1.03,243.6,1,152.25,152.25,0,0,0,0,0,0,0,152.25,0,0,203,0,0,0,0,152.25,0,152.25,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,152.25,152.25,2,1.5,1.91,5,2,0
ng169,bus4192,74.79,21.27,38.17,-8.33,1.02,90,1,75,22.5,0,0,0,0,0,0,0,75,0,0,75,0,0,0,0,22.5,450,75,1598.6475,0,0,0,0,0,0,0,0,ng,Thermal,3,2,30,30,2,1.5,1.91,5,2,2.147004673
ng170,bus4192,183.26,21.27,93.54,-20.4,1.02,220.52,1,183.77,55.13,0,0,0,0,0,0,0,183.77,0,0,183.77,0,0,0,0,55.13,1102.6,183.77,3114.6392,0,0,0,0,0,0,0,0,ng,Thermal,3,2,73.508,73.508,2,1.5,1.91,5,2,1.552020364
ng171,bus4192,0,0,12.22,-2.66,1.02,28.8,1,24,7.2,0,0,0,0,0,0,0,24,0,0,24,0,0,0,0,7.2,144,24,915.4176,0,0,0,0,0,0,0,0,ng,Thermal,3,2,9.6,9.6,2,1.5,1.91,5,2,4.333806742
ng172,bus4192,60.83,21.27,31.05,-6.77,1.02,73.2,1,61,18.3,0,0,0,0,0,0,0,61,0,0,61,0,0,0,0,18.3,366,61,1409.3297,0,0,0,0,0,0,0,0,ng,Thermal,3,2,24.4,24.4,2,1.5,1.91,5,2,2.387482151
ng173,bus4192,10.37,5.29,5.29,-1.15,1.02,12.48,1,10.4,3.12,0,0,0,0,0,0,0,10.4,0,0,10.4,0,0,0,0,3.12,62.4,10.4,736.20048,0,0,0,0,0,0,0,0,ng,Thermal,3,2,4.16,4.16,2,1.5,1.91,5,2,8.137686957
ng174,bus4192,136.48,21.27,135.9,-29.64,1.02,320.4,1,267,80.1,0,0,0,0,0,0,0,267,0,0,267,0,0,0,0,80.1,1602,267,4328.8152,0,0,0,0,0,0,0,0,ng,Thermal,3,2,106.8,106.8,2,1.5,1.91,5,2,1.451205535
ng175,bus4192,155.9,21.27,135.9,-29.64,1.02,320.4,1,267,80.1,0,0,0,0,0,0,0,267,0,0,267,0,0,0,0,80.1,1602,267,4328.8152,0,0,0,0,0,0,0,0,ng,Thermal,3,2,106.8,106.8,2,1.5,1.91,5,2,1.451205535
ng176,bus4192,155.9,21.27,135.9,-29.64,1.02,320.4,1,267,80.1,0,0,0,0,0,0,0,267,0,0,267,0,0,0,0,80.1,1602,267,4328.8152,0,0,0,0,0,0,0,0,ng,Thermal,3,2,106.8,106.8,2,1.5,1.91,5,2,1.451205535
ng177,bus4192,183.26,21.27,93.54,-20.4,1.02,220.52,1,183.77,55.13,0,0,0,0,0,0,0,183.77,0,0,183.77,0,0,0,0,55.13,1102.6,183.77,3114.6392,0,0,0,0,0,0,0,0,ng,Thermal,3,2,73.508,73.508,2,1.5,1.91,5,2,1.552020364
ng178,bus4192,183.26,21.27,93.54,-20.4,1.02,220.52,1,183.77,55.13,0,0,0,0,0,0,0,183.77,0,0,183.77,0,0,0,0,55.13,1102.6,183.77,3114.6392,0,0,0,0,0,0,0,0,ng,Thermal,3,2,73.508,73.508,2,1.5,1.91,5,2,1.552020364
wind179,bus4194,151.2,42.94,42.94,-29.03,1.02,241.92,1,151.2,151.2,0,0,0,0,0,0,0,151.2,0,0,201.6,0,0,0,0,151.2,0,151.2,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,151.2,151.2,2,1.5,1.91,5,2,0
wind180,bus4195,69,-13.25,19.6,-13.25,1,110.4,1,69,69,0,0,0,0,0,0,0,69,0,0,92,0,0,0,0,69,0,69,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,69,69,2,1.5,1.91,5,2,0
wind181,bus5020,90,-11.79,25.56,-17.28,1,144,1,90,90,0,0,0,0,0,0,0,90,0,0,120,0,0,0,0,90,0,90,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,90,90,2,1.5,1.91,5,2,0
ng182,bus5023,0,0,2.44,-0.53,1.04,5.76,1,4.8,1.44,0,0,0,0,0,0,0,4.8,0,0,4.8,0,0,0,0,1.44,28.8,4.8,660.83232,0,0,0,0,0,0,0,0,ng,Thermal,3,2,1.92,1.92,2,1.5,1.91,5,2,14.49615413
ng183,bus5035,0,0,2.14,-0.47,1.02,5.04,1,4.2,1.26,0,0,0,0,0,0,0,4.2,0,0,4.2,0,0,0,0,1.26,25.2,4.2,650.92038,0,0,0,0,0,0,0,0,ng,Thermal,3,2,1.68,1.68,2,1.5,1.91,5,2,15.88122792
ng184,bus5036,0,0,3.26,-0.71,1.02,7.68,1,6.4,1.92,0,0,0,0,0,0,0,6.4,0,0,6.4,0,0,0,0,1.92,38.4,6.4,677.63328,0,0,0,0,0,0,0,0,ng,Thermal,3,2,2.56,2.56,2,1.5,1.91,5,2,11.66484088
ng185,bus5037,93.74,76.29,157.01,-34.24,1.02,370.16,1,308.47,92.54,0,0,0,0,0,0,0,308.47,0,0,308.47,0,0,0,0,92.54,1850.8,308.47,4631.80697,0,0,0,0,0,0,0,0,ng,Thermal,3,2,123.388,123.388,2,1.5,1.91,5,2,1.281983575
ng186,bus5038,93.74,74.11,157.01,-34.24,1.02,370.16,1,308.47,92.54,0,0,0,0,0,0,0,308.47,0,0,308.47,0,0,0,0,92.54,1850.8,308.47,4631.80697,0,0,0,0,0,0,0,0,ng,Thermal,3,2,123.388,123.388,2,1.5,1.91,5,2,1.281983575
ng187,bus5039,93.74,157.01,157.01,-34.24,1.02,370.16,1,308.47,92.54,0,0,0,0,0,0,0,308.47,0,0,308.47,0,0,0,0,92.54,1850.8,308.47,4631.80697,0,0,0,0,0,0,0,0,ng,Thermal,3,2,123.388,123.388,2,1.5,1.91,5,2,1.281983575
ng188,bus5040,93.74,55.86,157.01,-34.24,1.02,370.16,1,308.47,92.54,0,0,0,0,0,0,0,308.47,0,0,308.47,0,0,0,0,92.54,1850.8,308.47,4631.80697,0,0,0,0,0,0,0,0,ng,Thermal,3,2,123.388,123.388,2,1.5,1.91,5,2,1.281983575
